T_BASE_SENSITIVEWORDS_ID	SENSITIVETYPE	SENSITIVETOPIC	SENSITIVEWORDS
1	色情	女	爱女人
2	色情	女	爱液
3	色情	女	按摩棒
4	色情	女	拔出来
5	色情	女	爆草
6	色情	女	包二奶
7	色情		暴干
8	色情		暴奸
9	色情		暴乳
10	色情		爆乳
11	色情		暴淫
12	色情		屄
13	色情		被操
14	色情		被插
15	色情		被干
16	色情		逼奸
17	色情		仓井空
18	色情		插暴
19	色情		操逼
20	色情		操黑
21	色情		操烂
22	色情		肏你
23	色情		肏死
24	色情		操死
25	色情		操我
26	色情		厕奴
27	色情		插比
28	色情		插b
29	色情		插逼
30	色情		插进
31	色情		插你
32	色情		插我
33	色情		插阴
34	色情		潮吹
35	色情		潮喷
36	色情		成人dv
37	色情		成人电影
38	色情		成人论坛
39	色情		成人小说
40	色情		成人电
41	色情		成人电影
42	色情		成人卡通
43	色情		成人聊
44	色情		成人片
45	色情		成人视
46	色情		成人图
47	色情		成人文
48	色情		成人小
49	色情		成人电影
50	色情		成人论坛
51	色情		成人色情
52	色情		成人网站
53	色情		成人文学
54	色情		成人小说
55	色情		艳情小说
56	色情		成人游戏
57	色情		吃精
58	色情		赤裸
59	色情		抽插
60	色情		扌由插
61	色情		抽一插
62	色情		春药
63	色情		大波
64	色情		大力抽送
65	色情		大乳
66	色情		荡妇
67	色情		荡女
68	色情		盗撮
69	色情		多人轮
70	色情		发浪
71	色情		放尿
72	色情		肥逼
73	色情		粉穴
74	色情		封面女郎
75	色情		风月大陆
76	色情		干死你
77	色情		干穴
78	色情		肛交
79	色情		肛门
80	色情		龟头
81	色情		裹本
82	色情		国产av
83	色情		好嫩
84	色情		豪乳
85	色情		黑逼
86	色情		后庭
87	色情		后穴
88	色情		虎骑
89	色情		花花公子
90	色情		换妻俱乐部
91	色情		黄片
92	色情		几吧
93	色情		鸡吧
94	色情		鸡巴
95	色情		鸡奸
96	色情		寂寞男
97	色情		寂寞女
98	色情		妓女
99	色情		激情
100	色情		集体淫
101	色情		奸情
102	色情		叫床
103	色情		脚交
104	色情		金鳞岂是池中物
105	色情		金麟岂是池中物
106	色情		精液
107	色情		就去日
108	色情		巨屌
109	色情		菊花洞
110	色情		菊门
111	色情		巨奶
112	色情		巨乳
113	色情		菊穴
114	色情		开苞
115	色情		口爆
116	色情		口活
117	色情		口交
118	色情		口射
119	色情		口淫
120	色情		裤袜
121	色情		狂操
122	色情		狂插
123	色情		浪逼
124	色情		浪妇
125	色情		浪叫
126	色情		浪女
127	色情		狼友
128	色情		聊性
129	色情		流淫
130	色情		铃木麻
131	色情		凌辱
132	色情		漏乳
133	色情		露b
